ArcheologicalProperty,Theory type,Theory content,Location,Documentation,Agent,PeriodOfTime,PhysicalDescription,SizeSpecification,Myth,FunctionalPurpose,Technology,CulturalPropertyComponent,E73InformationObject,Proponent,Method,Interpretation,RelevantFunctionalPurpose,BasedOnMyth,SizeAsProbableToBuildByHumans,SizeAsImprobableToBuildByHumans,PhysicalDescriptionAsProbableToBuildByHumans,PhysicalDescriptionAsImprobableToBuildByHumans,TechnologyAsProbableCreatedByHumans,TechnologyAsImprobableCreatedByHumans,RelevantCulturalPropertyComponent,LackOfDocumentation,RelevantFindingsResultingFromMethod,Attitude of Pseudoarcheologists,Attitude of Archeologists
Göbekli Tepe,Scientific archeological,"There was a settlement at Göbekli Tepe, with domestic structures, extensive processing of cereals, a water supply, and tools associated with daily life.","Göbekli Tepe, Şanlıurfa, Türkiye",,Neolithic people,9500 BCE," The settlement has circular structures that contain massive stone pillars (megaliths). These pillars are decorated with anthropomorphic details, clothing, and sculptural reliefs of wild animals. The settlement is covered with ancient domestic structures and other small buildings, quarries, and stone-cut cisterns","15 meters high, 8 hectar areas",,"Settlement, ritual site",Agglomerative building technique,"Megaliths, decoratations of anthropomorphic details, clothing, and sculptural reliefs of wild animals, ancient domestic structures and other small buildings, quarries, and stone-cut cisterns","Schönicke, Julia (2019). ""There and Back Again — Towards a New Understanding of Abandonment Practices at the Neolithic Settlement of Göbekli Tepe"". Bridging the Gap: Disciplines, Times, and Spaces in Dialogue. Vol. 1. pp. 210–237.",Julia Schönicke,"Stratigraphy, microarchaeology","PhysicalDescriptionAsProbableToBuildByHumans, RelevantCulturalPropertyComponent",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,Skeptical,Supportive
Puma Punku,Pseudoarchaeological,The precision of the stone cuts and lack of evidence for advanced tools suggest that Puma Punku was built by extraterrestrial beings.,"Tiwanaku, Bolivia",speculative claims in popular media,Extraterrestrial entities,Around 536 CE to 1000 CE,"Large stone blocks with precise cuts, interlocking joints, and drilled holes, weighing up to 130 tons each.",Stone blocks up to 130 tons each.,"Puma Punku is theorized to be an alien landing site due to its large, flat platform-like structures.",Alien base/platform,Unknown alien technology allegedly used to carve and move the massive blocks.,Speculative associations with extraterrestrial influence,"Von Daniken, Erich. ""Chariots of the Gods? Unsolved Mysteries of the Past"", Putnam, 1968",Erich Von Däniken,Speculation and comparison with structures in unrelated cultures.,TechnologyAsImprobableCreatedByHumans,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,Supportive,Skeptical
Puma Punku,Scientific archeological,Puma Punku was built by the Tiwanaku culture using advanced stone-cutting and construction techniques.,"Tiwanaku, Bolivia","Excavation reports, historical analysis",Tiwanaku Civilization,Around 536 CE to 1000 CE,"Large stone blocks, some with intricate carvings, ruins of temples and terraces.","Several terraces, platforms, and large stone blocks (up to 130 tons).",Associated with ancient myths about the origins of humanity and advanced lost technologies.,Likely ceremonial and astronomical functions,"Advanced stonecutting techniques, possibly leveraging hydraulic tools, astronomical alignment.","Archaeological artifacts, blocks with carvings","Posnansky, Arthur. ""Tiahuanaco: The Cradle of American Man"". Translated by James F. Shearer, J.J. Augustin Publisher, 1945.",Arthur Posnansky,"Excavation, digital modeling, stratigraphy, carbon dating, alignment studies",RelevantFindingsResultingFromMethod,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Skeptical,Supportive
Easter Island (Moai Statues),Pseudoarchaeological,The Moai statues were carved by giants or aliens as markers for extraterrestrial landing zones.,Rapa Nui (Easter Island),,Giants or extraterrestrial beings,1400–1650 CE,"Massive stone statues with oversized heads, weighing up to 82 tons each, carved from volcanic tuff.","Moai statues range in size, some over 10 m tall.",,Markers for alien visitors or ceremonial objects,Unknown advanced tools or technologies possibly alien in origin,"Oversized stone heads (Moai), ceremonial platforms (ahu), buried torsos of statues.","Von Daniken, Erich. ""Chariots of the Gods? Unsolved Mysteries of the Past"", Putnam, 1968",Erich Von Däniken,Speculative interpretation based on the size and alignment of the statues.,"SizeAsImprobableToBuildByHumans, TechnologyAsImprobableCreatedByHumans",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,Supportive,Skeptical
Easter Island (Moai Statues),Scientific archeological,"Ancestor worship, transportation theories",Rapa Nui (Easter Island),"European explorer accounts, archaeological research",Rapa Nui Civilization,1400–1650 CE,Large stone statues with oversized heads,"Moai statues range in size, some over 10 m tall.",Moai represent ancestral spirits,"Ancestor worship, social status, marking locations","Stone carving, transportation methods","Sculptural artwork, ceremonial objects","Van Tilburg, Jo Anne. ""Among Stone Giants: The Life of Katherine Routledge"". University of Washington Press, 2010.","Jo Anne Van Tilburg, Thor Heyerdahl","Excavation, oral traditions, carbon dating, stratigraphy ","RelevantFindingsResultingFromMethod, Documentation",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Skeptical,Supportive
Baalbek (Temple of Jupiter),Pseudoarchaeological,The massive trilithon stones were placed using alien technology due to their enormous size and weight.,"Baalbek, Lebanon",,Extraterrestrial entities,27 BCE – Roman period,"Trilithon stones weighing up to 800 tons, part of the Roman Temple of Jupiter complex.",Trilithon stones weighing up to 800 tons.,It is claimed that the temple was built in a single night by gods or aliens using advanced tools.,Alien power station/assembly site,Unknown alien lifting and transportation technology,"Trilithon stones, Roman columns, temple foundations","Von Daniken, Erich. ""Chariots of the Gods? Unsolved Mysteries of the Past"", Putnam, 1968",Erich Von Däniken,"Speculation based on the size and weight of the stones, claiming no ancient technology could handle them.","SizeAsImprobableToBuildByHumans, TechnologyAsImprobableCreatedByHumans",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,Supportive,Skeptical
Baalbek (Temple of Jupiter),Scientific archeological,"Religious significance, advanced Roman construction","Baalbek, Lebanon","Excavations, Roman inscriptions, scholarly research",Roman Empire,27 BCE – Roman period,"Trilithon stones weighing up to 800 tons, part of the Roman Temple of Jupiter complex.",Trilithon stones weighing up to 800 tons.,Connection to gods Jupiter and Baal,Religious rituals and ceremonies,"Roman construction techniques, cranes","Religious architecture, monumental stonework","Adam, Jean-Pierre. ""A propos du trilithon de Baalbek. Le transport et la mise en œuvre des mégalithes,"" Syria, 1977",Jean-Michel Chazottes,"Excavation, inscription analysis, structural study","RelevantCulturalPropertyComponent, Documentation, RelevantFindingsResultingFromMethod",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,Skeptical,Supportive
Sigiriya,Pseudoarchaeological,Sigiriya was built by extraterrestrial beings as a fortress or observation center for monitoring human activities.,"Matale District, Sri Lanka",,Extraterrestrial entities,5th century CE,"Rock fortress with advanced irrigation systems, frescoes, and mirror walls.",Rock fortress rising 200 m above the surrounding plains.,,Alien control center/observatory,Unknown alien technology used for constructing the fortress and advanced irrigation systems,"Frescoes, rock walls, water gardens, mirror walls","Hancock, Graham. ""Fingerprints of the Gods"" (1995), Hancock, Graham. ""Magicians of the Gods"" (2015)",Graham Hancock,Speculation based on perceived technological anomalies in construction and irrigation.,PhysicalDescriptionAsImprobableToBuildByHumans,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Supportive,Skeptical
Sigiriya,Scientific archeological,Royal palace and stronghold,"Matale District, Sri Lanka","Excavations, fresco analysis",King Kassapa I,5th century CE,"Rock fortress with advanced irrigation systems, frescoes, and mirror walls.",Rock fortress rising 200 m above the surrounding plains.,Legend of King Kassapa and the lion,"Military stronghold, royal residence","Water management, terrace construction","Architecture, royal symbols, frescoes","Paranavithana, S. ""Sigiriya and Its Significance"". 1st ed., 1956.",S. Paranavithana,"Excavation, fresco analysis, historical texts, stratigraphy","RelevantCulturalPropertyComponent, RelevantFindingsResultingFromMethod",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,Skeptical,Supportive
Teotihuacan,Pseudoarchaeological,Constructed by aliens due to advanced alignment and design.,Central Mexico,,Extraterrestrials,100 BCE–750 C,"Features large pyramids (Pyramid of the Sun and Moon), temples, and the Avenue of the Dead.","Pyramid of the Sun: 65m tall, Avenue of the Dead: 2.5km long",,Hypothesized communication with or worship of extraterrestrial beings,Claimed advanced extraterrestrial engineering,"Architecture, royal symbols, frescoes","Von Daniken, Erich. ""Chariots of the Gods? Unsolved Mysteries of the Past"", Putnam, 1968",Erich Von Däniken,Speculative interpretation of alignments and construction,RelevantFindingsResultingFromMethod,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Supportive,Skeptical
Teotihuacan,Scientific archeological,"Built by a pre-Aztec indigenous civilization (possibly the Totonacs), it was a major urban, religious, and administrative center. Known for its pyramids, avenues, and astronomical alignments.",Central Mexico,"Excavations, murals, artifacts",Indigenous civilization (likely Totonacs or Mixe-Zoque),100 BCE–750 C,"Features large pyramids (Pyramid of the Sun and Moon), temples, and the Avenue of the Dead.","Pyramid of the Sun: 65m tall, Avenue of the Dead: 2.5km long","Associated with Aztec myths of being built by gods (e.g., Quetzalcoatl).","Religious ceremonies, administrative center, residential hub","Advanced urban planning, masonry, astronomical alignment","Architecture, murals, artifacts","asztory, Esther. ""The Art and Architecture of Teotihuacan"". Thames and Hudson, 1983.",Archaeologists such as René Millon,"Excavations, mural analysis, stratigraphy","RelevantCulturalPropertyComponent",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,Skeptical,Supportive
Yonaguni Monument,Pseudoarchaeological,"Claims the Yonaguni Monument is the remnant of an advanced, nonhuman civilization or extraterrestrial base.","Off the coast of Yonaguni, Japan",,"Extraterrestrial beings or a lost, nonhuman civilization","Over 10,000 years ago (claimed influence)","Submerged terraces, steps, and formations resembling human-made structures.",Approximately 150m long and 40m wide.,,Hypothesized alien base or ancient temple,Claimed advanced nonhuman tools,"Geological features, potential prehistoric site","Hancock, Graham. ""Underworld: The Mysterious Origins of Civilization"". 1st ed., Crown Publishers, 2002.",Graham Hancock,Speculative interpretation of underwater features,PhysicalDescriptionAsImprobableToBuildByHumans,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Supportive,Skeptical
Yonaguni Monument,Scientific archeological,Believed to be a natural rock formation shaped by tectonic activity and water erosion. Some suggest possible human modifications during a prehistoric period.,"Off the coast of Yonaguni, Japan",Underwater surveys and geological studies,Natural forces or prehistoric humans,"If modified, potentially 8,000–10,000 years ago","Submerged terraces, steps, and formations resembling human-made structures.",Approximately 150m long and 40m wide.,Possibly linked to Japanese myths of lost civilizations.,Ceremonial/utilitarian purpose,Potentially basic stone-cutting tools,"Geological features, potential prehistoric site","Kimura, Masaaki. ""Submarine Topography and Geology of Yonaguni"". ",Masaaki Kimura,"Geological surveys, underwater mapping, stratigraphy, marine erosion patterns", RelevantFindingsResultingFromMethod,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Skeptical,Supportive
Tiwanaku,Pseudoarchaeological,Claims that Tiwanaku's advanced masonry and massive stone blocks could only have been constructed with extraterrestrial assistance.,Bolivia near Lake Titicaca,,Extraterrestrial beings,400–1000 CE,"Large stone gates, monoliths, terraces, and agricultural fields.",Spreads across several square kilometers.,Linked to myths of gods creating humanity.,Hypothesized alien ceremonial center,Claimed advanced extraterrestrial engineering,"Monuments, architecture, artifacts","Von Daniken, Erich. ""Chariots of the Gods? Unsolved Mysteries of the Past"", Putnam, 1968",Erich von Däniken,Speculative interpretation of large stone structures,TechnologyAsImprobableCreatedByHumans,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,Supportive,Skeptical
Tiwanaku,Scientific archeological,"Believed to be a ceremonial and agricultural hub of the Tiwanaku civilization, with advanced water management and masonry techniques.",Bolivia near Lake Titicaca,"Excavations, inscriptions, artifacts",Tiwanaku Civilization,400–1000 CE,"Large stone gates, monoliths, terraces, and agricultural fields.",Spreads across several square kilometers.,Associated with creation myths of Andean cultures.,"Ceremonial, agricultural, administrative center","Advanced masonry, hydraulic systems","Monuments, architecture, artifacts","Kolata, Alan L. ""The Tiwanaku: Portrait of an Andean Civilization"". Thames and Hudson, 1993.",Alan Kolata,"Excavations, stratigraphy, hydrological studies",RelevantCulturalPropertyComponent,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,Skeptical,Supportive
